TIMESTAMP,ID,ORD_NUM,SPLIT_ORDER
"2024-10-09 12:42:00",111,ORD10686710,12
"2024-10-09 12:45:00",112,ORD14686710,3
"2025-04-01 06:32:00",113,ORD13080810,13
"2025-04-01 06:33:00",114,ORD12781810,5
"2025-04-01 06:34:00",115,ORD12181810,33
"2024-06-19 11:47:00",116,ORD13389510,9
"2024-06-19 11:52:00",117,ORD14389510,10
"2024-06-19 11:46:00",118,ORD15389510,13
"2024-06-19 11:47:00",119,ORD16389510,11
"2024-06-19 11:56:00",120,ORD17389510,6
"2024-06-19 11:56:00",121,ORD18389510,9
"2024-06-19 11:57:00",122,ORD19389510,11
"2024-06-19 11:57:00",123,ORD10489510,9
"2024-06-19 11:59:00",124,ORD11489510,7
"2024-06-19 11:59:00",125,ORD12489510,11
"2024-06-19 11:59:00",126,ORD13489510,13
"2024-06-19 11:59:00",127,ORD14489510,13
"2024-06-19 11:57:00",128,ORD15489510,7
"2024-06-19 11:58:00",129,ORD16489510,9
"2024-06-19 11:58:00",130,ORD17489510,9
"2024-06-19 11:58:00",131,ORD18489510,10
"2024-06-19 12:00:00",132,ORD19489510,4
"2024-06-19 12:00:00",133,ORD11589510,4
"2024-06-19 12:00:00",134,ORD12589510,4
"2024-09-14 09:28:00",135,ORD160844105,5
"2024-09-14 09:28:00",136,ORD145864105,21
"2024-09-14 09:28:00",137,ORD120815105,47
"2024-09-14 09:28:00",138,ORD166845105,390
"2024-09-14 09:28:00",139,ORD177845105,63
"2024-09-14 09:28:00",140,ORD111855105,27
"2024-09-14 09:28:00",141,ORD184865105,46
"2024-09-14 09:28:00",142,ORD135865105,4
"2024-09-14 09:28:00",143,ORD117865105,6
"2024-09-14 09:28:00",144,ORD185875105,23
"2024-09-14 09:28:00",145,ORD160885105,5
"2024-09-14 09:28:00",146,ORD132885105,5
"2024-09-17 04:25:00",147,ORD176885105,41
"2024-04-23 08:40:00",148,ORD137885105,4
"2024-04-23 08:42:00",149,ORD192806105,4
"2024-04-30 11:36:00",150,ORD136806105,10
"2024-05-19 14:02:00",151,ORD172816105,7
"2024-05-19 14:03:00",152,ORD182816105,72
"2024-05-19 14:03:00",153,ORD113816105,7
"2024-05-19 14:03:00",154,ORD143816105,16
"2024-05-27 04:31:00",155,ORD146816105,9
"2024-08-19 09:58:00",156,ORD164836105,38
"2024-09-14 09:28:00",157,ORD119836105,1203
"2024-04-30 11:33:00",158,ORD112856105,10
"2024-09-14 09:28:00",159,ORD142856105,61
"2024-06-19 07:03:00",160,ORD134866105,9
"2024-09-15 05:38:00",161,ORD195866105,3
"2024-09-15 05:37:00",162,ORD106866105,4
"2024-09-15 05:31:00",163,ORD107866105,9
"2024-09-15 05:37:00",164,ORD109876105,4
"2024-08-19 10:07:00",165,ORD191886105,19
"2024-04-23 08:42:00",166,ORD160896105,22
"2024-04-23 08:43:00",167,ORD180896105,23
"2024-04-23 08:43:00",168,ORD131896105,30
"2024-04-23 08:44:00",169,ORD171896105,14
"2024-12-10 08:54:00",170,ORD104896105,28
"2024-05-19 14:02:00",171,ORD118896105,73
"2024-06-18 07:49:00",172,ORD139896105,4
"2024-06-19 07:01:00",173,ORD189896105,22
"2024-06-19 07:03:00",174,ORD199896105,7
"2024-06-08 09:54:00",175,ORD130807105,18
"2024-12-10 08:53:00",176,ORD124807105,20
"2024-12-01 13:07:00",177,ORD132837105,4
"2024-11-22 09:36:00",178,ORD124837105,14
"2024-11-22 08:15:00",179,ORD134837105,20
"2024-11-22 09:49:00",180,ORD144837105,20
"2024-11-22 07:29:00",181,ORD154837105,14
"2024-11-22 09:50:00",182,ORD164837105,14
"2024-11-22 07:23:00",183,ORD174837105,11
"2024-11-22 07:21:00",184,ORD184837105,11
"2024-11-22 06:45:00",185,ORD115837105,482
"2024-11-22 07:07:00",186,ORD125837105,597
"2024-11-22 07:09:00",187,ORD147837105,433
"2024-11-22 07:04:00",188,ORD111847105,477
"2024-11-22 09:44:00",189,ORD152847105,14
"2024-12-01 13:07:00",190,ORD123847105,4
"2024-11-22 09:38:00",191,ORD183847105,17
"2024-10-04 07:17:00",192,ORD194847105,8
"2024-08-19 09:55:00",193,ORD186867105,14
"2024-08-19 09:56:00",194,ORD196867105,9
"2024-08-19 09:56:00",195,ORD107867105,3
"2024-08-19 09:57:00",196,ORD127867105,13
"2024-08-19 10:00:00",197,ORD167867105,11
"2024-10-04 07:13:00",198,ORD107877105,40
"2024-10-04 07:13:00",199,ORD177877105,8
"2024-10-04 07:14:00",200,ORD187877105,3
"2024-10-04 07:14:00",201,ORD108877105,28
"2024-10-04 07:14:00",202,ORD118877105,21
"2024-10-04 07:14:00",203,ORD138877105,6
"2024-10-04 07:15:00",204,ORD158877105,15
"2024-10-04 07:15:00",205,ORD119877105,6
"2024-10-04 07:15:00",206,ORD169877105,3
"2024-10-04 07:30:00",207,ORD100887105,12
"2024-10-04 07:16:00",208,ORD101887105,20
"2024-10-04 07:16:00",209,ORD121887105,3
