TIMESTAMP,ID,ORD_NUM,AWB_BILL_NO,INVOICE_NO,SHIP_DATE
"2024-06-26 06:21:00",1492,ORD14489510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:21:00",1493,ORD15489510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:21:00",1494,ORD16489510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:21:00",1495,ORD17489510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:22:00",1496,ORD19489510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:22:00",1497,ORD11589510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:22:00",1498,ORD12589510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 06:22:00",1499,ORD18489510-S(1),XXXXXXXXXXXXXXXX,IN2782001,2024-06-18
"2024-06-26 12:18:00",1500,ORD18280510,XXXXXXXXXXXXXXXX,IN9980001,2024-03-07
"2024-06-26 12:19:00",1501,ORD11380510,XXXXXXXXXXXXXXXX,IN2081001,2024-03-07
"2024-06-26 12:19:00",1502,ORD13982510,XXXXXXXXXXXXXXXX,IN1081001,2024-03-07
"2024-06-26 12:19:00",1503,ORD17282610,XXXXXXXXXXXXXXXX,IN0081001,2024-03-07
"2024-06-26 12:20:00",1504,ORD18182610,XXXXXXXXXXXXXXXX,IN6081001,2024-03-07
"2024-06-26 12:20:00",1505,ORD15187510,XXXXXXXXXXXXXXXX,IN3081001,2024-03-07
"2024-06-26 12:21:00",1506,ORD16182610,XXXXXXXXXXXXXXXX,IN7081001,2024-03-07
"2024-06-26 12:21:00",1507,ORD15182610,XXXXXXXXXXXXXXXX,IN8081001,2024-03-07
"2024-06-26 12:22:00",1508,ORD17280510,XXXXXXXXXXXXXXXX,IN0181001,2024-03-07
"2024-06-26 12:22:00",1509,ORD19182610,XXXXXXXXXXXXXXXX,IN9081001,2024-03-07
"2024-06-26 12:23:00",1510,ORD13380510,XXXXXXXXXXXXXXXX,IN4181001,2024-03-07
"2024-06-26 12:24:00",1511,ORD13282610,XXXXXXXXXXXXXXXX,IN5181001,2024-03-07
"2024-06-26 12:24:00",1512,ORD12282610,XXXXXXXXXXXXXXXX,IN6181001,2024-03-07
"2024-06-26 12:25:00",1513,ORD13082610,XXXXXXXXXXXXXXXX,IN8181001,2024-03-07
"2024-06-26 12:25:00",1514,ORD10282610,XXXXXXXXXXXXXXXX,IN7181001,2024-03-07
"2024-06-26 12:25:00",1515,ORD16380510,XXXXXXXXXXXXXXXX,IN9181001,2024-03-07
"2024-06-26 12:26:00",1516,ORD10986510,XXXXXXXXXXXXXXXX,IN2281001,2024-03-07
"2024-06-26 12:26:00",1517,ORD11988510,XXXXXXXXXXXXXXXX,IN3281001,2024-03-07
"2024-06-26 12:27:00",1518,ORD16089510,XXXXXXXXXXXXXXXX,IN4281001,2024-03-07
"2024-06-27 11:33:00",1519,ORD166826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:33:00",1520,ORD186826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:34:00",1521,ORD158845105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:34:00",1522,ORD165826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:34:00",1523,ORD185826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:35:00",1524,ORD190855105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:35:00",1525,ORD138826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:35:00",1526,ORD148826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:36:00",1527,ORD112815105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:36:00",1528,ORD197865105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
